   1.14547533E-04   1.26331660E-03   5.14040794E-03   3.23626048E-14   1.93224038E-14   3.50757712E-03   1.93224038E-14
   5.84191736E-03   1.26331544E-03   3.55546689E-03   3.75825504E-09   2.63882982E-09   2.63904058E-03   6.41886266E-11
   1.15692718E-02   1.26330450E-03   3.55544942E-03   2.38513351E-08   1.75529209E-08   2.63903057E-03   2.52971338E-10
   1.72966532E-02   1.26329286E-03   3.55542987E-03   7.78560079E-08   5.76380224E-08   2.63902033E-03   5.66363900E-10
   2.30241008E-02   1.26327609E-03   3.55540053E-03   1.82560271E-07   1.35355421E-07   2.63900449E-03   1.00436992E-09
   2.87515484E-02   1.26325281E-03   3.55535955E-03   3.54751279E-07   2.63166100E-07   2.63898284E-03   1.56698410E-09
   3.44788916E-02   1.26322906E-03   3.55532044E-03   6.11214944E-07   4.53530447E-07   2.63896096E-03   2.25419394E-09
   4.02061529E-02   1.26319414E-03   3.55526013E-03   9.68733275E-07   7.18906961E-07   2.63892766E-03   3.06598369E-09
   4.59334143E-02   1.26315921E-03   3.55519960E-03   1.44408875E-06   1.07175492E-06   2.63889576E-03   4.00237088E-09
   5.16606756E-02   1.26311684E-03   3.55512742E-03   2.05406218E-06   1.52453265E-06   2.63885665E-03   5.06334263E-09
   5.73879369E-02   1.26307027E-03   3.55504919E-03   2.81543203E-06   2.08969959E-06   2.63881334E-03   6.24889607E-09
   6.31152019E-02   1.26302079E-03   3.55496327E-03   3.74497586E-06   2.77971321E-06   2.63876677E-03   7.55903340E-09
   6.88424632E-02   1.26296259E-03   3.55486386E-03   4.85946703E-06   3.60703052E-06   2.63871322E-03   8.99373198E-09
   7.45697245E-02   1.26290438E-03   3.55476444E-03   6.17567730E-06   4.58410841E-06   2.63865828E-03   1.05530065E-08
   8.02969858E-02   1.26283627E-03   3.55464732E-03   7.71037776E-06   5.72340150E-06   2.63859448E-03   1.22368284E-08
   8.60242471E-02   1.26276643E-03   3.55452811E-03   9.48032994E-06   7.03736760E-06   2.63853068E-03   1.40452086E-08
   9.17515084E-02   1.26269122E-03   3.55439936E-03   1.15022967E-05   8.53846177E-06   2.63845967E-03   1.59781255E-08
   9.74787697E-02   1.26260973E-03   3.55426082E-03   1.37930401E-05   1.02391377E-05   2.63838447E-03   1.80355766E-08
  0.103206031       1.26252754E-03   3.55412043E-03   1.63693221E-05   1.21518497E-05   2.63830763E-03   2.02175734E-08
  0.108933292       1.26243441E-03   3.55396047E-03   1.92478838E-05   1.42890476E-05   2.63822079E-03   2.25240484E-08
  0.114660554       1.26234128E-03   3.55380052E-03   2.24454725E-05   1.66631817E-05   2.63813394E-03   2.49550602E-08
  0.120387815       1.26224046E-03   3.55362869E-03   2.59788321E-05   1.92867046E-05   2.63803988E-03   2.75105538E-08
  0.126115218       1.26213569E-03   3.55344918E-03   2.98647155E-05   2.21720529E-05   2.63794279E-03   3.01905843E-08
  0.131843224       1.26202789E-03   3.55326594E-03   3.41198647E-05   2.53317176E-05   2.63784127E-03   3.29954339E-08
  0.137571231       1.26191147E-03   3.55306687E-03   3.87610380E-05   2.87781495E-05   2.63773417E-03   3.59247281E-08
  0.143299237       1.26179506E-03   3.55286803E-03   4.38049683E-05   3.25238034E-05   2.63762567E-03   3.89785484E-08
  0.149027243       1.26166863E-03   3.55265150E-03   4.92683794E-05   3.65811284E-05   2.63750693E-03   4.21567776E-08
  0.154755250       1.26154057E-03   3.55243101E-03   5.51679914E-05   4.09625682E-05   2.63738818E-03   4.54594939E-08
  0.160483256       1.26140716E-03   3.55220493E-03   6.15204845E-05   4.56805537E-05   2.63726362E-03   4.88866476E-08
  0.166211262       1.26126746E-03   3.55196511E-03   6.83425678E-05   5.07475233E-05   2.63713324E-03   5.24381889E-08
  0.171939269       1.26112718E-03   3.55172530E-03   7.56509471E-05   5.61759480E-05   2.63700308E-03   5.61142350E-08
  0.177667275       1.26097584E-03   3.55146592E-03   8.34622842E-05   6.19782440E-05   2.63686269E-03   5.99145196E-08
  0.183395281       1.26082450E-03   3.55120655E-03   9.17933139E-05   6.81668607E-05   2.63672066E-03   6.38392663E-08
  0.189123288       1.26066559E-03   3.55093554E-03   1.00660698E-04   7.47542144E-05   2.63657304E-03   6.78883367E-08
  0.194851294       1.26050261E-03   3.55065684E-03   1.10081062E-04   8.17527543E-05   2.63642124E-03   7.20617521E-08
  0.200579301       1.26033684E-03   3.55037232E-03   1.20071185E-04   8.91749442E-05   2.63626617E-03   7.63595480E-08
  0.206307307       1.26016221E-03   3.55007406E-03   1.30647590E-04   9.70331894E-05   2.63610412E-03   8.07815184E-08
  0.212035313       1.25998759E-03   3.54977581E-03   1.41826895E-04   1.05339896E-04   2.63594068E-03   8.53279261E-08
  0.217763320       1.25980331E-03   3.54945823E-03   1.53625821E-04   1.14107504E-04   2.63576838E-03   8.99984016E-08
  0.223491326       1.25961704E-03   3.54914065E-03   1.66061000E-04   1.23348407E-04   2.63559492E-03   9.47932364E-08
  0.229219332       1.25942589E-03   3.54881329E-03   1.79148963E-04   1.33075097E-04   2.63541681E-03   9.97123024E-08
  0.234947339       1.25922798E-03   3.54847428E-03   1.92906446E-04   1.43299971E-04   2.63523310E-03   1.04755465E-07
